capital = "Ravenna"
owner = VEN
controller = VEN
add_core = VEN
add_core = PAP
culture = romagnan
religion = catholic
hre = yes
base_tax = 4
base_production = 5
base_manpower = 2
trade_goods = salt
discovered_by = western
discovered_by = eastern
discovered_by = ottoman
discovered_by = muslim
is_city = yes
1509.1.1 = {
	owner = PAP
	controller = PAP
	add_core = PAP
	remove_core = VEN
}
1805.12.26 = {
	owner = ITA
	controller = ITA
	add_core = ITA
	remove_core = PAP
}
1814.4.11 = {
	owner = PAP
	controller = PAP
	add_core = PAP
	remove_core = ITA
}
